indicator_id,cartodb_id,iso,sub_nat_id,boundary,boundary_id,thresh,country,year,value,province,boundary_name,indicator_name,units
2,940662,MEX,,admin,1,30,Mexico,2006,0.336641446,,administrative boundary,Tree cover loss percentage,%
2,940668,MEX,,admin,1,30,Mexico,2007,0.411017467,,administrative boundary,Tree cover loss percentage,%
2,940674,MEX,,admin,1,30,Mexico,2008,0.346669752,,administrative boundary,Tree cover loss percentage,%
2,940680,MEX,,admin,1,30,Mexico,2009,0.52877882,,administrative boundary,Tree cover loss percentage,%
2,940686,MEX,,admin,1,30,Mexico,2010,0.313487144,,administrative boundary,Tree cover loss percentage,%
2,940691,MEX,,admin,1,30,Mexico,2011,0.351171096,,administrative boundary,Tree cover loss percentage,%
2,940697,MEX,,admin,1,30,Mexico,2012,0.328574171,,administrative boundary,Tree cover loss percentage,%
2,940703,MEX,,admin,1,30,Mexico,2013,0.411857922,,administrative boundary,Tree cover loss percentage,%
2,940709,MEX,,admin,1,30,Mexico,2014,0.321047106,,administrative boundary,Tree cover loss percentage,%
2,940715,MEX,,admin,1,30,Mexico,2015,0.371627238,,administrative boundary,Tree cover loss percentage,%
2,940721,MEX,,admin,1,30,Mexico,2016,0.515523521,,administrative boundary,Tree cover loss percentage,%
13,940250,MEX,,admin,1,10,Mexico,2001,10.01850326,,administrative boundary,AGC loss WH in TgC,Tg C
13,940256,MEX,,admin,1,10,Mexico,2002,9.90401892,,administrative boundary,AGC loss WH in TgC,Tg C
13,940262,MEX,,admin,1,10,Mexico,2003,9.156153163,,administrative boundary,AGC loss WH in TgC,Tg C
13,940268,MEX,,admin,1,10,Mexico,2004,10.3433611,,administrative boundary,AGC loss WH in TgC,Tg C
13,940274,MEX,,admin,1,10,Mexico,2005,12.76636673,,administrative boundary,AGC loss WH in TgC,Tg C
13,940280,MEX,,admin,1,10,Mexico,2006,10.83433145,,administrative boundary,AGC loss WH in TgC,Tg C
13,940286,MEX,,admin,1,10,Mexico,2007,13.81552424,,administrative boundary,AGC loss WH in TgC,Tg C
13,940292,MEX,,admin,1,10,Mexico,2008,11.60396652,,administrative boundary,AGC loss WH in TgC,Tg C
13,940298,MEX,,admin,1,10,Mexico,2009,17.13507033,,administrative boundary,AGC loss WH in TgC,Tg C
13,940304,MEX,,admin,1,10,Mexico,2010,10.8581026,,administrative boundary,AGC loss WH in TgC,Tg C
13,940310,MEX,,admin,1,10,Mexico,2011,11.85063501,,administrative boundary,AGC loss WH in TgC,Tg C
13,940316,MEX,,admin,1,10,Mexico,2012,11.17751432,,administrative boundary,AGC loss WH in TgC,Tg C
13,940322,MEX,,admin,1,10,Mexico,2013,13.87964152,,administrative boundary,AGC loss WH in TgC,Tg C
13,940328,MEX,,admin,1,10,Mexico,2014,10.8209711,,administrative boundary,AGC loss WH in TgC,Tg C
13,940334,MEX,,admin,1,10,Mexico,2015,12.52707159,,administrative boundary,AGC loss WH in TgC,Tg C
13,940340,MEX,,admin,1,10,Mexico,2016,17.71164029,,administrative boundary,AGC loss WH in TgC,Tg C
13,940635,MEX,,admin,1,30,Mexico,2001,9.911542971,,administrative boundary,AGC loss WH in TgC,Tg C
13,940641,MEX,,admin,1,30,Mexico,2002,9.809650565,,administrative boundary,AGC loss WH in TgC,Tg C
13,940647,MEX,,admin,1,30,Mexico,2003,9.075924357,,administrative boundary,AGC loss WH in TgC,Tg C
